NHL_ID,Player,Team,Position,Jersey#,DOB,_source
8479638,Justin Brazeau,PIT,R,16.0,,nhl_search_api
8484446,Cole Brown,NJD,L,,,nhl_search_api
8484150,Hunter Brzustewicz,CGY,D,48.0,,nhl_search_api
8478416,Erik Cernak,TBL,D,81.0,,nhl_search_api
8484439,Chase Cheslock,NJD,D,,,nhl_search_api
8479395,Dennis Cholowski,NJD,D,44.0,,nhl_search_api
8479345,Jakob Chychrun,WSH,D,6.0,,nhl_search_api
8475231,Casey Cizikas,NYI,C,53.0,,nhl_search_api
8471675,Sidney Crosby,PIT,C,87.0,,nhl_search_api
8485386,Ethan Czata,TBL,C,45.0,,nhl_search_api
8475235,Nicolas Deslauriers,PHI,L,44.0,,nhl_search_api
8483085,Mikael Diotte,NJD,D,55.0,,nhl_search_api
8485483,Karsen Dorwart,PHI,L,23.0,,nhl_search_api
8477934,Leon Draisaitl,EDM,C,29.0,,nhl_search_api
8482652,Walker Duehr,WPG,R,71.0,,nhl_search_api
8480434,Sean Durzi,UTA,D,50.0,,nhl_search_api
8476441,Joel Edmundson,LAK,D,6.0,,nhl_search_api
8485006,Lucas Ellinas,OTT,L,91.0,,nhl_search_api
8476889,Radek Faksa,DAL,C,12.0,,nhl_search_api
8483441,Quinn Finley,NYI,L,,,nhl_search_api
8475762,Derek Forbort,VAN,D,27.0,,nhl_search_api
8480029,Alex Formenton,OTT,L,10.0,,nhl_search_api
8478055,Gustav Forsling,FLA,D,42.0,,nhl_search_api
8475764,Cam Fowler,STL,D,17.0,,nhl_search_api
8485593,Linus Funck,COL,D,,,nhl_search_api
8483745,Jake Furlong,CHI,D,61.0,,nhl_search_api
8483444,Nathan Gaucher,ANA,C,41.0,,nhl_search_api
8485474,Cooper Gay,COL,R,,,nhl_search_api
8482914,Kirill Gerasimyuk,FLA,G,80.0,,nhl_search_api
8483692,Dyllan Gill,TBL,D,57.0,,nhl_search_api
8485433,Mans Goos,DAL,G,,,nhl_search_api
8476906,Shayne Gostisbehere,CAR,D,4.0,,nhl_search_api
8475798,Mikael Granlund,ANA,C,64.0,,nhl_search_api
8475790,Erik Gudbranson,CBJ,D,44.0,,nhl_search_api
8481679,Max Guenette,PHI,D,,,nhl_search_api
8483451,Jordan Gustafson,VGK,C,38.0,,nhl_search_api
8481019,David Gustafsson,WPG,C,41.0,,nhl_search_api
8481749,Ethan Haider,NSH,G,29.0,,nhl_search_api
8483747,Petr Hauser,EDM,R,,,nhl_search_api
8485056,Ty Henry,CHI,D,,,nhl_search_api
8478499,Adin Hill,VGK,G,33.0,,nhl_search_api
8482085,Samuel Hlavaj,MIN,G,35.0,,nhl_search_api
8480981,Joel Hofer,STL,G,30.0,,nhl_search_api
8485644,Burke Hood,NYI,G,79.0,,nhl_search_api
8485415,William Horcoff,PIT,C,,,nhl_search_api
8483455,Isaac Howard,EDM,L,53.0,,nhl_search_api
8481559,Jack Hughes,NJD,C,86.0,,nhl_search_api
8484871,Christian Humphreys,COL,C,,,nhl_search_api
8485647,Bruno Idzan,OTT,L,,,nhl_search_api
8485399,Jack Ivankovic,NSH,G,34.0,,nhl_search_api
8484929,Juha Jaaska,CAR,L,54.0,,nhl_search_api
8482694,Justin Janicke,SEA,L,68.0,,nhl_search_api
8483712,Ludvig Jansson,FLA,D,54.0,,nhl_search_api
8482907,Oskar Jellvik,BOS,L,,,nhl_search_api
8480890,Jan Jenik,OTT,C,14.0,,nhl_search_api
8475324,Nick Jensen,OTT,D,3.0,,nhl_search_api
8479370,Tyson Jost,NSH,C,17.0,,nhl_search_api
8481560,Arthur Kaliyev,OTT,R,34.0,,nhl_search_api
8482516,Matthew Kessel,STL,D,51.0,,nhl_search_api
8473986,Alex Killorn,ANA,L,17.0,,nhl_search_api
8482918,Danila Klimovich,VAN,R,18.0,,nhl_search_api
8485564,Tinus Luc Koblar,TOR,C,,,nhl_search_api
8483732,Vsevolod Komarov,BUF,D,76.0,,nhl_search_api
8479533,Joona Koppanen,PIT,L,15.0,,nhl_search_api
8483469,Kasper Kulonummi,NSH,D,72.0,,nhl_search_api
8485527,Michal Kunc,UTA,L,,,nhl_search_api
8483727,Connor Kurth,TBL,R,68.0,,nhl_search_api
8483808,Andrei Kuzmenko,LAK,L,96.0,,nhl_search_api
8482165,Yan Kuznetsov,CGY,D,37.0,,nhl_search_api
8485669,Jacob Kvasnicka,NYI,R,,,nhl_search_api
8483690,Noah Laba,NYR,C,42.0,,nhl_search_api
8485439,Tommy Lafreniere,EDM,R,54.0,,nhl_search_api
8485650,Aidan Lane,CGY,R,,,nhl_search_api
8485672,Matthew Lansing,VAN,C,,,nhl_search_api
8482148,Hendrix Lapierre,WSH,C,29.0,,nhl_search_api
8475314,Anders Lee,NYI,L,27.0,,nhl_search_api
8481594,Nathan Légaré,NJD,R,37.0,,nhl_search_api
8479324,Ryan Lindgren,SEA,D,55.0,,nhl_search_api
8478904,Steven Lorentz,TOR,C,18.0,,nhl_search_api
8480950,Ilya Lyubushkin,DAL,D,46.0,,nhl_search_api
8483693,Joel Maatta,EDM,C,,,nhl_search_api
8481237,Kyle MacLean,NYI,C,32.0,,nhl_search_api
8480893,Kirill Marchenko,CBJ,R,86.0,,nhl_search_api
8482759,Viljami Marjala,EDM,L,57.0,,nhl_search_api
8484778,Miguel Marques,NSH,R,43.0,,nhl_search_api
8484776,Maxim Massé,ANA,R,56.0,,nhl_search_api
8484321,Nikolas Matinpalo,OTT,D,33.0,,nhl_search_api
